,gdp_per_capita
1929-01-01,1110.206
1930-01-01,1015.751
1931-01-01,950.686
1932-01-01,828.061
1933-01-01,817.824
1934-01-01,906.213
1935-01-01,986.905
1936-01-01,1114.052
1937-01-01,1171.144
1938-01-01,1132.338
1939-01-01,1223.21
1940-01-01,1331.06
1941-01-01,1566.848
1942-01-01,1862.772
1943-01-01,2179.879
1944-01-01,2353.234
1945-01-01,2330.217
1946-01-01,2059.782
1947-01-01,2036.204
1948-01-01,2119.959
1949-01-01,2107.999
1950-01-01,2291.111
1951-01-01,2475.449
1952-01-01,2576.658
1953-01-01,2697.456
1954-01-01,2681.854
1955-01-01,2873.16
1956-01-01,2934.391
1957-01-01,2996.178
1958-01-01,2973.982
1959-01-01,3180.22
1960-01-01,3262.061
1961-01-01,3345.69
1962-01-01,3550.684
1963-01-01,3705.318
1964-01-01,3918.791
1965-01-01,4173.424
1966-01-01,4448.703
1967-01-01,4570.709
1968-01-01,4795.387
1969-01-01,4945.235
1970-01-01,4954.436
1971-01-01,5117.603
1972-01-01,5386.733
1973-01-01,5690.853
1974-01-01,5660.091
1975-01-01,5648.462
1976-01-01,5952.809
1977-01-01,6228.076
1978-01-01,6572.819
1979-01-01,6780.924
1980-01-01,6763.514
1981-01-01,6935.153
1982-01-01,6810.12
1983-01-01,7122.29
1984-01-01,7637.704
1985-01-01,7956.17
1986-01-01,8231.664
1987-01-01,8516.418
1988-01-01,8872.154
1989-01-01,9197.997
1990-01-01,9371.468
1991-01-01,9361.322
1992-01-01,9691.069
1993-01-01,9957.746
1994-01-01,10358.923
1995-01-01,10636.979
1996-01-01,11038.266
1997-01-01,11529.157
1998-01-01,12045.824
1999-01-01,12623.361
2000-01-01,13138.035
2001-01-01,13263.417
2002-01-01,13488.357
2003-01-01,13865.519
2004-01-01,14399.696
2005-01-01,14901.269
2006-01-01,15315.943
2007-01-01,15623.871
2008-01-01,15642.962
2009-01-01,15236.262
2010-01-01,15648.991
2011-01-01,15891.534
2012-01-01,16253.97
2013-01-01,16553.348
2014-01-01,16932.051
2015-01-01,17390.295
2016-01-01,17680.274
2017-01-01,18076.651
2018-01-01,18609.078
2019-01-01,19036.052
2020-01-01,18509.143
2021-01-01,19609.812
2022-01-01,20014.128
